id,country,name,address,focus,source_page
00025,Argentina,Asociación Argentina de Agencias de Publicidad (AAAP) / Argentine Advertising Agencies' Association,"Hipólito Yrigoyen 1968, C1089AAL Buenos Aires - T: (011) 49510575; Fax: 49542357; Internet: http://www.asociacion.org - Founded: 1933; Members Firms: 85 - Pres: Miguel Angel Daschuta",Advert,image00023.jpg
00026,Argentina,Asociación Argentina de Agencias de Viajes y Turismo (AAAVYT) / Argentine Association of Travel Agencies and Tourism,"Viamonte 640, C1053ABN Buenos Aires - T: (011) 43254691; Fax: 43229641; E-mail: aaavyt@tournet.com.ar; Internet: http://www.aaavyt.org.ar - Founded: 1951 - Pres: Hugo Emiliano Copertari",Trav Agenc & Tour Operat; Tourism,image00023.jpg
00027,Argentina,Asociación Argentina de Codificación de Productos Comerciales (CODIGO) / Consumer Products Codification Association,"Viamonte 340-342, C1053ABH Buenos Aires - T: (011) 43131779; Fax: 45101758/59; E-mail: aapcomer@infovia.com.ar; Internet: http://www.codigo.com.ar",Commerce,image00023.jpg
00028,Argentina,Asociación Argentina de Compañías de Seguros (AACS) / Argentine Association of Insurance Companies,"25 de Mayo 565, C1002ABK Buenos Aires - T: (011) 43127790; Fax: 43126300; E-mail: aacsra@mbox.servicenet.com.ar - Founded: 1894; Members Firms: 60 - Pres: Roberto Solitto",Insur,image00023.jpg
00029,Argentina,Asociación Argentina de Editores de Revistas (AAER) / Argentine Magazine Publishers' Association,"Av Paseo Colón 275, C1063ACC Buenos Aires - T: (011) 43450062; Fax: 43438894; E-mail: aaer@ba.net - Pres: Alberto Fontevecchia",Magaz,image00023.jpg
00030,Argentina,Asociación Argentina de Empresarios Transporte Automotor (AAETA),"Bernardo de Yrigoyen 330, C1072AAH Buenos Aires - E-mail: aaeta@sei.com.ar; Internet: http://www.aaeta.org.ar - Gen Secr: Marcelo González",Freight Transp,image00023.jpg
00031,Argentina,Asociación Argentina de Floristas / Argentine Association of Florists,"Hipólito Yrigoyen 785, C1086AAK Buenos Aires - T: (011) 43421694; Fax: 43425239; Internet: http://www.comerciobuenosaires.com/entidades/floristas/index.htm",Flowers,image00023.jpg
00032,Argentina,Asociación Argentina de Franchising / Argentine Franchising Association,"Av del Libertador 222, C1001ABP Buenos Aires - T: (011) 43943318; Fax: 43943318; E-mail: info@aafranchising.com; Internet: http://www.aafranchising.com - Pres: José Fernández",Commerce,image00023.jpg
00033,Argentina,Asociación Argentina de Grasas y Aceites (ASAGA) / Argentine Oils and Fats Association,"Chacabuco 567, C1069AAK Buenos Aires - T: (011) 43435623; Fax: 43435623; E-mail: AYMAGA@citinet.net.ar - Founded: 1989; Members: 120; Members Firms: 147 - Pres: Eduardo Dubinsky",Fat & Oil,image00023.jpg
00034,Argentina,Asociación Argentina de Marketing (AAM) / Argentine Marketing Association,"Viamonte 723, C1053ABO Buenos Aires - T: (011) 43223149; Fax: 43267702; E-mail: aam@aam-ar.com; Internet: http://www.aam-ar.com - Founded: 1965; Members Firms: 1200 - Pres: Sergio Smith; Gen Secr: Enrique D'Alessandro",Marketing,image00023.jpg
00035,Argentina,Asociación Argentina de Productores en Siembra,"Paraguay 777, S2000CVO Rosario - T: (0341) 4266840",Seed,image00023.jpg
00036,Argentina,Asociación Argentina de Químicos y Coloristas Textiles,"Bulnes 1425, C1176ACA Buenos Aires",Dyeing; Chem Prod,image00023.jpg
00037,Argentina,Asociación Argentina de Televisión por Cable (ATVC) / Argentine Cable TV Association,"Av de Mayo 749, C1084 AAC Buenos Aires - T: (011) 43423362; Fax: 43431716; E-mail: atvc@satlink.com; Internet: http://www.atvc.org.ar - Founded: 1980 - Pres: Dr. Horacio Guibelalde; Gen Secr: Serafín Guillani",TV Stat,image00023.jpg
00038,Argentina,Asociación Bancaria,"Carlos Pellegrini 66, A4402FYB Salta - T: (0387) 4225380",Banks,image00023.jpg
00039,Argentina,Asociación Bodegas de Argentina,"Güemes 4464, C1425BLF Buenos Aires - T: (011) 47762529; Fax: 47744873; E-mail: mgiordano1904@sinectis.com.ar; Internet: http://www.arcanet.com/topwines - Founded: 1904; Members Firms: 60 - Gen Secr: Mario J. Giordano",Wine,image00023.jpg
00040,Argentina,Asociación Comercial e Industrial del Diamante,"H. Yrigoyen 470, E3105XAB Diamante - T: (0343) 4981880",Commerce; Gen Ind,image00023.jpg
00041,Argentina,Asociación de Agentes de Propaganda Medica de Mendoza,"Gobernador González 110, M5500HWD Mendoza - T: (0261) 4306360",Repr & Agents; Drugs,image00023.jpg
00042,Argentina,Asociación de Agricultores,"Moreno 459, S2103AMI Coronel Bogado - T: (03402) 491261",Agri,image00023.jpg
00043,Argentina,Asociación de Bancos de la Argentina (ABA) / Association of Argentine Banks,"San Martín 229, C1004AAE Buenos Aires - T: (011) 43941836; Fax: 43946340; E-mail: webmaster@aba-argentina.com; Internet: http://www.aba-argentina.com - Founded: 1972; Members Firms: 77 - Pres: Eduardo J. Escasany",Banks,image00023.jpg
00044,Argentina,Asociación de Bancos de Provincia de la República Argentina (ABAPRA),"Florida 470, C1005AAJ Buenos Aires - T: (011) 43226321; Fax: 43226721 - Founded: 1959; Members Firms: 31 - Pres: José Manuel Pablo Viudes; Gen Secr: Luis B. Bucafusco",Banks,image00023.jpg
00045,Argentina,Asociación de Bancos del Interior de la República Argentina (ABIRA),"Av Corrientes 538, C1043AAS Buenos Aires - T: (011) 43943439; Fax: 43945682; E-mail: direccion@abira.com.ar - Founded: 1956; Members Firms: 30 - Pres: Dr. Jorge Federico Christensen; Gen Secr: Raúl Passano",Banks,image00023.jpg
00046,Argentina,Asociación de Bancos Públicos y Privados de la República Argentina (ABAPPRA) / Association of Public and Private Banks of the Argentine Republic,"Florida 470, C1005AAJ Buenos Aires - T: (011) 43225342; Fax: 43225342; E-mail: info@abappra.com.ar; Internet: http://www.abappra.com.ar - Members Firms: 29 - Pres: Rodolfo Frigeri; Gen Secr: Luis B. Bucafusco",Banks,image00023.jpg
00047,Argentina,Asociación de Citricultores,"General M. Belgrano s/n, E3229APA Villa del Rosario - T: (03456) 491105",Fruit & Veget,image00023.jpg
00048,Argentina,Asociación de Clínicas y Sanatorios,"Santa Fe 1251, W3400CHS Corrientes - T: (03783) 435942",Nursing,image00023.jpg
00049,Argentina,Asociación de Comerciantes en Materiales para Construcción y Afines,"Viamonte 2160, C1056ABH Buenos Aires",Constr Mat & Parts,image00023.jpg
00050,Argentina,Asociación de Comercio e Industria Zona Norte,"Av Génova 1786, S2013BRX Rosario - T: (0341) 4395038",Commerce; Gen Ind,image00023.jpg
00051,Argentina,Asociación de Concesionarios de Toyota,"Juramento 2059, C1428DNG Buenos Aires - T: (011) 47899009",Auto,image00023.jpg
00052,Argentina,Asociación de Cooperativas y Mutualidades,"Av de Mayo 1370, C1085ABQ Buenos Aires - Founded: 1940",Co-op; Insur,image00023.jpg
00053,Argentina,Asociación de Dirigentes de Empresa,"Av Callao 449, C1022AAE Buenos Aires - T: (011) 464995",Managers,image00023.jpg
00054,Argentina,Asociación de Diseñadores Industriales de la Argentina,"Vicente Fidel Lopez 1864, C1128ACB Buenos Aires",Designs,image00023.jpg
00055,Argentina,Asociación de Distribuidores de Golosinas y Afines (ADGYA) / Association of Confectionery Industry,"Perú 913, C1068AAI Buenos Aires - T: (011) 43618741; E-mail: info@adgya.org.ar; Internet: http://www.adgya.org.ar",Choc & Candy,image00023.jpg
00056,Argentina,Asociación de Editoras para Deficientes Visuales de Ibero-América (ADEVIA),"Av Hipólito Yrigoyen 2850, C1207ABN Buenos Aires - Founded: 1971",Books,image00023.jpg
00057,Argentina,Asociación de Empresarios de Servicios Funebres Entre Rios,"Cura Alvarez 566, E3100BEL Paraná - T: (0343) 0012",Funerals,image00023.jpg
00058,Argentina,Asociación de Empresarios Hotelera y Gastronomica,"Calle Saavedra 60, X5152HVB Villa Carlos Paz - T: (03541) 422439",Restaur & Hotels,image00023.jpg
00059,Argentina,Asociación de Empresarios Rodriguez Peña,"Av San Martín 36, M5501AAN Godoy Cruz - T: (0261) 4221082",Gen Bus,image00023.jpg
00060,Argentina,Asociación de Entidades Aseguradoras Privadas de la República Argentina (EAPRA),"Esmeralda 684, C1007ABF Buenos Aires - T: (011) 43932268; Fax: 43932283 - Founded: 1875; Members Firms: 12 - Pres: Dr. Piero Zuppelli; Gen Secr: Bernardo von der Goltz",Insur,image00023.jpg
00061,Argentina,Asociación de Entidades Periodísticas Argentinas (ADEPA),"Chacabuco 314, C1069AAH Buenos Aires - T: (011) 43311500; Fax: 43311500; E-mail: adepa@ciudad.com.ar; Internet: http://www.adepa.com.ar - Founded: 1962 - Pres: Guillermo Ignacio",Newspapers,image00023.jpg
00062,Argentina,Asociación de Fabricantes Argentinos de Coca Cola (AFAC) / Association of Argentine Coca Cola Manufacturers,"Av Quintana 585, C1129ABB Buenos Aires - T: (011) 48063222; Fax: 48043526; E-mail: afac@satlink.com - Pres: David Lee; Gen Secr: Wenceslao L. Arias",Non-Alco Bev,image00023.jpg
00063,Argentina,Asociación de Fabricantes Artesanales de Helados y Afines (AFAHYA) / Association of Ice Cream and Related Products Manufacturers,"Av Callao 449, C1022AAE Buenos Aires - T: (011) 43748159; Fax: 43757645; E-mail: info@afahya.com.ar; Internet: http://www.afahya.com.ar - Pres: Hector Gimenez; Gen Secr: Horacio Roncagilio",Ice,image00023.jpg
00064,Argentina,Asociación de Fabricantes de Celulosa y Papel / Association of Paper and Cellulose Producers,"Av Belgrano 2852, C1209AAN Buenos Aires - T: (011) 49310051; Fax: 49310053; E-mail: afcp@act.net.ar - Pres: Rafael Gaviola",Paper & Pulp,image00023.jpg
00065,Argentina,Asociación de Fabricantes de Cemento Portland / Portland Cement Manufacturers' Association,"San Martín 1137, C1004AAW Buenos Aires - T: (011) 43123046; Fax: 43121700; E-mail: afcp@afcp.com.ar; Internet: http://www.afcp.com.ar - Gen Secr: Enrique Romero",Constr Mat & Parts,image00023.jpg
00066,Argentina,Asociación de Fábricas Argentinas de Auto Componentes / Argentine Association of Automotive Components Manufacturers,"Viamonte 1167, C1053ABW Buenos Aires - T: (011) 43749518; Fax: 48143434; E-mail: afac@act.net.ar; Internet: http://www.uia.org.ar/asociados/afac - Pres: Horacio Larre Orcoño; Gen Secr: Horacio Berthé",Auto Parts,image00023.jpg
00067,Argentina,Asociación de Fábricas de Automotores (ADEFA) / Automotive Manufacturers' Association,"Marcelo T. de Alvear 636, C1058AAH Buenos Aires - T: (011) 43123483; Fax: 43152990; E-mail: luis@iname.com; Internet: http://www.adefa.com.ar - Founded: 1961 - Pres: Horacio Losoviz",Auto,image00024.jpg
00068,Argentina,Asociación de Hoteles de Turismo de la República Argentina / Association of Tourist Hotels of the Republic of Argentina,"Av Rivadavia 1157, C1033AAB Buenos Aires - T: (011) 43830669; Fax: 43830669; E-mail: aht@dacas.com.ar; Internet: http://www.aht.com.ar - Pres: Diego Gonzalez Bonorino; Gen Secr: Carlos Gianola Martinez",Restaur & Hotels,image00024.jpg
00069,Argentina,"Asociación de Hoteles, Restaurantes, Confiterías y Cafés de Buenos Aires / Buenos Aires Hotel, Restaurant, Bakery and Coffee Shop Association","Tucumán 1610, C1050AAH Buenos Aires - T: (011) 43721295; Fax: 43715108; E-mail: info@ahrcc.com.ar; Internet: http://www.ahrcc.com.ar - Founded: 1905 - Pres: Carlos Gutiérrez García",Restaur & Hotels,image00024.jpg
00070,Argentina,Asociación de Importadores y Exportadores de la República Argentina (AIERA) / Association of Argentine Importers and Exporters,"Av Belgrano 124, C1092AAO Buenos Aires - T: (011) 43420010; Fax: 43421312; E-mail: aiera@aiera.org.ar; Internet: http://www.aiera.org.ar - Founded: 1966 - Pres: Héctor Marcello Vidal; Gen Secr: Estella D. de Amati",Commerce,image00024.jpg
00071,Argentina,Asociación de Industria de Alimentación,"Blvd Chacabuco 187, X5000IIB Córdoba - T: (0351) 4233987",Food,image00024.jpg
00072,Argentina,Asociación de Industria y Comercio,"Lavalle 231, D5732AEE Villa Mercedes - T: (02657) 423153",Gen Ind; Commerce,image00024.jpg
00073,Argentina,Asociación de Industriales Metalúrgicos de la República Argentina (ADIMRA) / Argentine Metallurgical Industries' Association,"Alsina 1609, C1088AAO Buenos Aires - T: (011) 43715571; Fax: 48144406 - Founded: 1904; Members Ass.: 60; Members Firms: 600 - Pres: Juan Carlos Lascurain; Gen Secr: Luis José Vassallo",Metallurgy,image00024.jpg
00074,Argentina,Asociación de Industrias Argentinas de Carnes / Association of Argentine Meat Industry,"San Martín 390, C1004AAH Buenos Aires - T: (011) 43949734; Fax: 43949658; E-mail: aiacsmm@mbox.servicenet.com.ar - Pres: Víctor Tonelli",Meat & Food Prod,image00024.jpg
00075,Argentina,Asociación de Industrias Metalurgicas,"Corrientes 244, X2400MHD San Francisco - T: (03564) 426569",Metallurgy,image00024.jpg
00076,Argentina,Asociación de la Pequeña y Mediana Industria Electrónica y Eléctrica / Association of Small and Medium Electronic and Electric Industries,"Gascón 62, C1181ABB Buenos Aires - T: (011) 49812335",Electronics; Electric Equipm,image00024.jpg
00077,Argentina,Asociación de la Prensa Tecnica Argentina,"Carlos Pellegrini 143, C1009ABC Buenos Aires",Magaz,image00024.jpg
00078,Argentina,"Asociación de Limpieza, Productos de Hogar y Afines (ALPHA) / Association of Cleaning and Household Products and Related Industries","Av Leandro N. Alem 1067, C1001AAF Buenos Aires - T: (011) 43124605; Fax: 43124605 - Pres: Miguel Angel Queralto; Gen Secr: Reinaldo Costa","Soap, Deterg, Cleans",image00024.jpg
00079,Argentina,Asociación de Marketing Bancario Argentino / Argentine Bank Marketing Association,"Florida 336, C1005AAH Buenos Aires - T: (011) 43256808; Fax: 43264352; E-mail: amba@ambanet.org; Internet: http://www.ambanet.org - Pres: Juan Carlos de la Vega; Gen Secr: Carlos Baliner",Marketing,image00024.jpg
00080,Argentina,Asociación de Panaderos de Rosario,"G. Brown 1539, S2108ABK Soldini - T: (0341) 4901152",Cake & Pastr,image00024.jpg
00081,Argentina,Asociación de Productores de Frutas Argentinas / Association of Argentine Fruit Producers,"Oficina C, Lavalle 3161, C1190AAI Buenos Aires - T: (011) 48628333; Fax: 48628333; E-mail: gacetafruticola@ciudad.com.ar - Pres: Alfredo Caliau",Fruit & Veget,image00024.jpg
00082,Argentina,Asociación de Productores de Leche / Association of Milk Producers,"Paraguay 781, C1057AAI Buenos Aires - T: (011) 43152143; E-mail: mocampo@arnet.com.ar",Milk & Dairy Prod,image00024.jpg
00083,Argentina,Asociación de Productores Hortícolas,"A. Lebey s/n, B8512ACA Vilalonga - T: (02928) 492333",Hort & Landscape Archit,image00024.jpg
00084,Argentina,Asociación de Promotores Publicitarios de la Argentina,"Sarmiento 1889, C1044AAA Buenos Aires - T: (011) 459923",Advert,image00024.jpg
00085,Argentina,Asociación de Radiodifusoras Privadas Argentinas (ARPA),"Juan D. Perón 1561, C1037ACC Buenos Aires - T: (011) 43824412 - Founded: 1958 - Pres: Domingo F.L. Elías",Radio Stat,image00024.jpg
00086,Argentina,Asociación de Teleradiodifusoras Argentinas (ATA) / Argentine Television and Radio Association,"Av Córdoba 323, C1054 AAC Buenos Aires - T: (011) 43124208; Fax: 43154681; E-mail: ata@giga.com.ar - Founded: 1959 - Pres: Carlos Fontan Balestra",TV Stat,image00024.jpg
00087,Argentina,Asociación de Trabajadores,"Ituzaingo 371, A4402FRG Salta - T: (0387) 4317720",Labour Unions,image00024.jpg
00088,Argentina,Asociación de Trabajadores de Sanidad Argentina,"Mendoza 2667, S2000PBI Rosario - T: (0341) 4407220",Labour Unions,image00024.jpg
00089,Argentina,Asociación de Viajantes de Comercio de la República Argentina,"Bartolomé Mitre 1175, C1036AAU Buenos Aires - T: (011) 350507",Repr & Agents,image00024.jpg
00090,Argentina,Asociación de Viajantes de Misiones,"Blvd R.S. Peña 2458, N3300KDX Posadas - T: (03752) 437104",Repr & Agents,image00024.jpg
00091,Argentina,"Asociación del Comercio, Industria, Producción y Afines del Neuquén (ACIPAN)","Blvd 9 de Julio 67, Q8300ICA Neuquén - T: (0299) 4424454",Commerce; Gen Ind,image00024.jpg
00092,Argentina,Asociación del Congreso Panamericano de Ferrocarriles (ACPF),"Av 9 de Julio 1925, Buenos Aires - T: (011) 384625 - Founded: 1906",Railw & Railw Equip,image00024.jpg
00093,Argentina,Asociación Gremial de Productores,"Sgto Cabral 1369, S3050BHM Calchaquí - T: (03483) 470424",Gen Ind,image00024.jpg
00094,Argentina,Asociación Latinoamericana de Ferrocarriles / Latin American Railways Association,"Av Belgrano 863, C1092AAI Buenos Aires - T: (011) 43311298, 43454006; Fax: 43312747; E-mail: alaf@ssdnet.com.ar; Internet: http://www.alaf.int.ar - Members Ass.: 40 - Gen Secr: Vigder Sletean",Railw & Railw Equip,image00024.jpg
00095,Argentina,Asociación Latinoamericana del Transporte Automotor por Carreteras (ALATAC),"Av Belgrano 1870, C1094AAN Buenos Aires - T: (011) 381274, 372172 - Founded: 1966",Freight Transp,image00024.jpg
00096,Argentina,Asociación Mutual 15 de Enero - Industría del Vidrio,"Av Donato Alvarez 1154, B1879LKN Quilmes Oeste - T: (011) 42708000",Glass,image00024.jpg
00097,Argentina,Asociación para la Defensa del Consumidor,"Virrey del Pino 1739, C1426EGC Buenos Aires",Consum,image00024.jpg
00098,Argentina,Asociación Petroquímica Latino Americana (APLA) / Latin American Petrochemical Association,"Esmeralda 351, C1035AB6 Buenos Aires - T: (011) 43214522; Fax: 43271760",Petrol & Petrol Prod,image00024.jpg
00099,Argentina,Asociación Profesional Farmaceutica,"Av Buenos Aires 1262, S2000CET Rosario - T: (0341) 4497155",Drugs,image00024.jpg
00100,Argentina,Asociación Química Argentina / Argentine Chemical Association,"Sánchez de Bustamante 1749, C1425DUI Buenos Aires - T: (011) 48224886; Fax: 48224886; E-mail: info@aqa.org.ar; Internet: http://www.aqa.org.ar - Founded: 1912 - Pres: Marcelo Vernengo",Chem Prod,image00024.jpg
00101,Argentina,Asociación Regional de Desarrollo Empresario,"Maipenzo 749, B1878JTO Quilmes - T: (011) 50504713",Gen Bus,image00024.jpg
00102,Argentina,Asociación Rosarina de Agencias de Viajes,"D.F. Sarmiento 958, S2000CMP Rosario - T: (0341) 4249062",Trav Agenc & Tour Operat,image00024.jpg
00103,Argentina,Asociación Sindical de Trabajadores de Farmacia,"Ituzaingó 442, X5000IJJ Córdoba - T: (0351) 4220650",Labour Unions,image00024.jpg
00104,Argentina,Asociación Turismo y Fomento de La Cumbre,"Belgrano 525, X5180CZI La Cumbre - T: (03548) 451657",Tourism,image00024.jpg
00105,Argentina,Asociación Vitivinícola Argentina -> Asociación Bodegas de Argentina,"Bolsa de Comercio de Bahia Blanca, Sarmiento 567, C1041AAK Buenos Aires - T: (011) 43942618",Commerce,image00024.jpg
00106,Argentina,Cámara Argentina de Distribuidores de Materiales Eléctricos (CADIME) / Argentine Chamber of Electrical Material Distributors,"Alberti 1074, C1223AAL Buenos Aires - T: (011) 49428642; Fax: 49428642; Internet: http://www.comerciobuenosaires.com/entidades/cadime - Founded: 1971 - Pres: Mario Osvaldo Pierucci; Gen Secr: Alfonso Daniel Vallon",Electric Equipm,image00024.jpg
00107,Argentina,Cámara Argentina de Especialidades Medicinales (CAEME) / Argentine Chamber of Specialized Medicines,"Av Leandro N. Alem 619, C1001AAB Buenos Aires - T: (011) 43133860; Fax: 43130489; E-mail: caeme@arnet.com.ar",Drugs,image00024.jpg
00108,Argentina,Cámara Argentina de Fabricantes de Equipos y Máquinas de Oficinas (CAFEMO) / Argentine Chamber of Manufacturers of Office Machinery and Equipment,"Alsina 1609, C1088AAO Buenos Aires - T: (011) 43715063; Fax: 48144407 - Pres: Carlos Rodes",Off Equip & Mach,image00024.jpg
00109,Argentina,Cámara Argentina de Farmacias / Argentine Chamber of Pharmacies,"Av Rivadavia 1615, C1033AAG Buenos Aires - T: (011) 43743934; Fax: 43744220; E-mail: caf@obernet.com.ar; Internet: http://www.caf.com.ar - Founded: 1978; Members Firms: 700 - Pres: Eduardo Dosisto; Gen Secr: Victor Raúl Gándola",Drugs,image00024.jpg
00110,Argentina,Cámara Argentina de Hipotecas,"Posadas 1564, C1112ADB Buenos Aires",Credit Serv,image00024.jpg
00111,Argentina,Cámara Argentina de Indumentaria para Bebés y Niños / Argentine Chamber of Baby and Children's Clothing,"Av Junín s/n, C1026ABA Buenos Aires - T: (011) 49539540",Cloth,image00024.jpg
00112,Argentina,Cámara Argentina de Industrias de Refrigeración y Aire Acondicionado (CAIRA) / Argentine Chamber of Refrigeration and Air Conditioning,"Av de Mayo 1123, C1085ABB Buenos Aires - T: (011) 4381862; Fax: 43622517; E-mail: caira@arnet.com.ar - Pres: Carlos Fernández",Heating & Air Condit,image00024.jpg
00113,Argentina,Cámara Argentina de Industrias Electrónicas (CADIE) / Argentine Chamber of Electronics Industries,"Bernardo de Irigoyen 330, C1072AAH Buenos Aires - T: (011) 43345752; Fax: 43346722; E-mail: camara@cadie.org.ar - Pres: Hermes O. Grisoni",Electronics,image00024.jpg
00114,Argentina,Cámara Argentina de la Construcción / Argentine Chamber of Construction,"Av Paseo Colón 823, C1063ACI Buenos Aires - T: (011) 43618778; Fax: 43614724 int 202; E-mail: bcocac@cac.cicoar.com.ar; Internet: http://www.cicoar.com/cac - Pres: Eduardo Baglietto",Constr Ind,image00024.jpg
00115,Argentina,Cámara Argentina de la Industria de Bebidas sin Alcohol / Argentine Chamber of the Non-Alcoholic Drinks Industry,"Av Rivadavia 1823, C1033AAI Buenos Aires - T: (011) 49525375; Fax: 49527239 - Pres: Pedro Raúl Rojas",Non-Alco Bev,image00024.jpg
00116,Argentina,Cámara Argentina de la Industria de Chacinados y Afines (CAICHA) / Argentine Chamber of Pork and Pork Products Industries,"Bacacay 2576, C1406GDT Buenos Aires - T: (011) 46113254; Internet: http://www.copal.org.ar/camaras/caicha.html - Pres: Alberto Alvarez Gaiani",Meat & Meat Prod,image00024.jpg
00117,Argentina,Cámara Argentina de la Industria de Higiene y Tocador / Argentine Chamber of Cosmetics and Toiletries Industries,"Paraguay 1857, C1121ABA Buenos Aires - T: (011) 48139525; Fax: 48123010 - Founded: 1932; Members Firms: 110 - Pres: Carlos Wainstein; Gen Secr: Ricardo Raúl Flores",Cosmet,image00024.jpg
00118,Argentina,"Cámara Argentina de la Industria del Aluminio, Metales y Afines (CAIAMA) / Argentine Chamber of the Aluminium, Metals and Related Industry","Paraná 467, C1017AAI Buenos Aires - T: (011) 43711987; Fax: 43714301; E-mail: caiama@act.net.ar - Pres: Luis María Costa",Alum; Metallurgy,image00024.jpg
00119,Argentina,Cámara Argentina de la Industria del Juguete / Argentine Chamber of the Toy Industry,"Cochabamba 4067, C1252ABS Buenos Aires - Fax: 49236658 - Pres: Miguel Faraoni",Toys & Hobby,image00024.jpg
00120,Argentina,Cámara Argentina de la Industria Frigorífica / Argentine Chamber of the Refrigeration Industry,"Lavalle 710, C1047AAP Buenos Aires - T: (011) 43935579; Fax: 43258993; E-mail: cadif@lvd.com.ar - Pres: Américo Bermejo",Refrig,image00024.jpg
